trial,accuracy,inference_ms,n_parameters,n_conv_layers,channels_0,channels_1,channels_2,learning_rate,batch_size,n_epochs,dropout_rate,optimizer_type,input_resolution,channels_3
1,0.916,1.6141006024554372,104570,3,128,16.0,64.0,0.0008612579192594886,256,13,0.46974947078209456,RMSprop,28,
4,0.8984,0.7305012084543705,15370,4,16,16.0,32.0,0.0001290211302456716,32,14,0.11978094533348621,RMSprop,24,16.0
7,0.9118,0.5260978126898408,109066,3,64,64.0,64.0,0.0007644457600399744,64,10,0.4680773870803905,Adam,20,
31,0.9091,0.47839259495958686,591626,1,32,,,0.0007346512304318004,64,9,0.33183558268132407,Adam,24,
37,0.9243,0.7026691106148064,182714,3,96,96.0,48.0,0.000632535362979874,32,14,0.3541814883575174,Adam,28,
38,0.9096,0.8547325967811048,33370,4,32,32.0,16.0,0.06252940793270145,64,6,0.3540860443226408,SGD,28,64.0
46,0.8248,0.42034380603581667,395210,1,48,,,0.00027863110859382685,32,11,0.43395914726001106,SGD,16,
54,0.8986,0.523414509370923,42218,3,128,16.0,16.0,0.0007644457600399744,64,4,0.4680773870803905,Adam,28,
56,0.9092,0.46434146352112293,666122,2,64,128.0,,0.00011916783985028135,32,6,0.1155373982940357,Adam,24,
59,0.8748,0.4273052792996168,86250,2,64,32.0,,0.011079193990007919,32,7,0.4647645721239129,Adam,16,
